SUPLIER & ITEMS ,UNIT ,PRICE ,UNIT ,PRICE ,,Monday Thunder Stock,Min Home Stock,Order Amount,,,,
Chilli Flakes ,kg , MYR 4.80 ,, MYR 0.00 ,,,,,,,,
Chicken Breast ,kg , MYR 18.00 ,gm , MYR 0.02 ,,,,,,,,
Mixed Salad ,pkt, MYR 13.00 ,gm , MYR 0.05 ,,,,,,,,
Green Chilli Padi ,kg, MYR 13.00 ,gm , MYR 0.01 ,,,,,,,,
Oyester Mushroom,Pkt, MYR 9.50 ,gm , MYR 0.02 ,,,,,,,,
Parsley English,kg , MYR 12.00 ,gm , MYR 0.01 ,,,,,,,,
Tabasco Sauce ,btl , MYR 9.80 ,gm , MYR 0.05 ,,,,,,,,
Sunflower Oil,btl/3kg, MYR 37.00 ,ml, MYR 0.01 ,,,,,,,,
Honey ,Tub/ 1kg, MYR 16.00 ,ml, MYR 0.02 ,,,,,,,,
Salt ,pkt/400gm, MYR 4.00 ,gm , MYR 0.01 ,,,,,,,,
Mint Leaf ,kg/1000, MYR 88.80 ,gm , MYR 0.09 ,,,,,,,,
Coconut Powder ,kg/1000, MYR 3.50 ,gm , MYR 0.07 ,,,,,,,,
Basil ,pkt/50gm, MYR 4.30 ,gm , MYR 0.09 ,,,,,,,,
Chicken Breast ,kg/1000, MYR 18.00 ,gm , MYR 0.02 ,,,,,,,,
Chilli Sauce ,ctn, MYR 4.15 ,gm , MYR 0.01 ,,,,,,,,
Tomato Sauce ,ctn, MYR 3.58 ,gm , MYR 0.01 ,,,,,,,,
Orange ,pcs , MYR 1.50 ,PCS , MYR 1.50 ,,,,,,,,
Apple ,pcs , MYR 1.50 ,PCS , MYR 1.50 ,,,,,,,,
Pumpkin ,KG , MYR 4.30 ,gm , MYR 0.00 ,,,,,,,,
Thyme,GM, MYR 4.20 ,pkt, MYR 0.02 ,,,,,,,,
Button mushroom,kg, MYR 28.00 ,gm , MYR 0.03 ,,,,,,,,
Dried Oregano,pkt/500, MYR 9.80 ,, MYR 0.02 ,,,,,,,,
,,,,,,,,,,,,
