Menu Item,Ingredients,Quantity,Unit,Cost Price (MYR),Total Price (MYR),Notes
,Plastic Cup,1,pc,0.27,0.27,
,Plastic Lid,1,pc,0.12,0.12,
,Paper Straw,1,pc,0.06,0.06,
,,,,Cost,MYR 1.35,
,,,,Sale,MYR 8.00,
,,,,COGS %,17%,
,,,,Profit,MYR 6.65,
,,,,,,
Classic Brownie,Classic Brownie,1,pc,3.00,3.00,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 3.50,
,,,,Sale,MYR 6.00,
,,,,COGS %,58%,
,,,,Profit,MYR 2.50,
,,,,,,
Chocolate Chip Cookie,Chocolate Chip Cookie,1,pc,2.00,2.00,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 2.50,
,,,,Sale,MYR 4.00,
,,,,COGS %,63%,
,,,,Profit,MYR 1.50,
,,,,,,
Nutella Cookie,Nutella Cookie,1,pc,3.00,3.00,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 3.50,
,,,,Sale,MYR 6.00,
,,,,COGS %,58%,
,,,,Profit,MYR 2.50,
,,,,,,
Cinnamon Roll,Cinnamon Roll,1,pc,3.20,3.20,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 3.70,
,,,,Sale,MYR 7.00,
,,,,COGS %,53%,
,,,,Profit,MYR 3.30,
,,,,,,
Scone with Jam & Cream,Scone,1,pc,2.00,2.00,
,Clotted Cream,30,gm,0.05,1.50,
,Berry Jam,20,gm,0.03,0.50,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 4.50,
,,,,Sale,MYR 8.00,
,,,,COGS %,56%,
,,,,Profit,MYR 3.50,
,,,,,,
Whole Banana Bread Loaf,Banana Bread (whole),1,loaf,12.00,12.00,
,Packaging,1,pc,1.00,1.00,
,,,,Cost,MYR 13.00,
,,,,Sale,MYR 25.00,
,,,,COGS %,52%,
,,,,Profit,MYR 12.00,
,,,,,,
Coffee Beans 250g,House Blend Coffee Beans,250,gm,0.04,10.00,
,Bag/Label,1,pc,0.50,0.50,
,,,,Cost,MYR 10.50,
,,,,Sale,MYR 35.00,
,,,,COGS %,30%,
,,,,Profit,MYR 24.50,
,,,,,,
Thunder Mug,Ceramic Mug,1,pc,5.00,5.00,
,Printing/Label,1,pc,1.00,1.00,
,,,,Cost,MYR 6.00,
,,,,Sale,MYR 25.00,
,,,,COGS %,24%,
,,,,Profit,MYR 19.00,
,,,,,,
=== GRAB & GO MYR 4-10 SECTION ===,,,,,,,
,,,,,,
Peanut Butter Toast,Schiacciata Bread,1,pc,2.29,2.29,
,Peanut Butter,30,gm,0.01,0.30,
,Honey,10,ml,0.02,0.20,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 3.29,
,,,,Sale,MYR 5.00,
,,,,COGS %,66%,
,,,,Profit,MYR 1.71,
,,,,,,
Kaya Toast,Schiacciata Bread,1,pc,2.29,2.29,
,Pandan Kaya,30,gm,0.01,0.27,
